gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CDKN2A	225405	357	-15	357750	93150	0	22	0	0	16	6	2950500	0	0
KRAS	259193	512	16	257100	61950	0	140	2	0	8	6	1087950	0	0
SMAD4	156084	422	41	602100	162450	0	38	0	0	50	17	10450350	0	0
TP53	2069567	213	34	463350	127950	0	105	0	0	50	16	7773750	0	0
RNF43	782135	399	22	815100	257700	0	12	1	0	50	30	12313050	4.141110e-07	1.562193e-03
TGFBR2	80018	417	-9	642000	171150	0	10	0	0	50	27	9148500	6.657482e-05	2.092890e-01
PRSS1	285408	636	11	269100	74700	0	5	0	0	50	28	10203600	4.367701e-04	1
PMEPA1	197938	488	15	307650	91050	0	6	1	0	50	18	7232400	1.255028e-03	1
ADORA3	374092	330	27	626250	176550	0	5	0	0	50	13	9223800	1.588428e-03	1
LY86	133091	314	29	181350	46800	0	2	0	0	50	22	9043800	1.733114e-03	1
PSMB4	1322568	174	42	285450	84000	0	4	0	0	50	20	9849300	1.857565e-03	1
RREB1	664661	310	35	1818150	552900	0	12	3	0	50	16	9151500	1.972821e-03	1
KLK15	655673	589	25	272400	82650	0	6	0	0	50	17	10383750	2.193551e-03	1
HIST1H1B	228884	634	40	232650	75600	0	3	0	0	50	11	6237750	2.687394e-03	1
FBXW7	117295	501	51	915600	245400	0	5	0	0	50	18	10115850	3.190702e-03	1
IFT46	1359480	167	47	402300	98100	0	3	0	0	50	18	9665850	5.516422e-03	1
IYD	286182	334	29	387900	89550	0	5	1	0	50	19	8187000	6.264316e-03	1
RPL15	399346	319	6	216600	65550	0	2	0	0	50	14	9413700	6.594925e-03	1
CD86	557964	715	39	366450	89850	0	4	0	0	50	15	7898400	6.647808e-03	1
RSPO1	445248	274	29	285450	78150	0	3	1	0	37	21	6736800	6.708544e-03	1
JAGN1	950574	170	54	195150	55050	0	2	0	0	50	14	8492100	6.853514e-03	1
ADAMTS19	38096	1075	-16	1316550	353850	0	7	1	0	50	20	8208450	7.140214e-03	1
HIST1H2BE	398813	636	53	131700	40650	0	3	0	0	50	15	5746350	7.469426e-03	1
TMCC1	614377	357	40	691350	196950	0	7	1	0	50	21	10366800	7.601617e-03	1
KIAA1045	676166	394	23	429300	124650	0	5	0	0	50	22	12822750	7.618234e-03	1
CPE	171042	494	-9	518400	139950	0	3	1	0	50	30	10100550	8.907855e-03	1
CCDC70	353099	349	69	258150	59550	0	3	0	0	50	16	8713950	9.438642e-03	1
ADAMTS16	89385	683	-23	1326450	366900	0	11	1	0	50	27	9659550	1.110092e-02	1
PRTFDC1	164255	142	18	258600	61800	0	2	0	0	50	15	8375850	1.110546e-02	1
BRAF	305191	616	25	832200	234750	0	3	0	0	45	13	9186150	1.120581e-02	1
NGF	537568	558	6	251850	76650	0	5	1	0	11	5	2530650	1.126161e-02	1
ABTB2	769733	368	32	903600	259200	0	5	1	0	50	21	8747400	1.135271e-02	1
WTAP	643775	604	19	436800	112650	0	3	1	0	50	17	8437650	1.142727e-02	1
